model EOS Ref M2 M1 Gth Mej Tej vrho vz vej
34 H4 [19] 1.2 1.5 2 4 2 0.21 0.09 0.23
35 H4 [19] 1.2 1.5 1.8 3.5 2 0.21 0.09 0.23
36 H4 [19] 1.2 1.5 1.6 4.5 2 0.19 0.1 0.21
37 H4 [19] 1.2 1.4 1.8 2.5 1 0.19 0.1 0.21
38 H4 [19] 1.25 1.45 1.8 2 1.5 0.19 0.1 0.21
39 H4 [19] 1.3 1.5 1.8 3 2 0.19 0.1 0.21
40 H4 [19] 1.3 1.4 1.8 0.7 0.4 0.18 0.1 0.21
41 H4 [19] 1.25 1.35 1.8 0.6 0.3 0.18 0.1 0.21
42 H4 [19] 1.4 1.4 1.8 0.3 0.2 0.17 0.13 0.21
43 H4 [24] 1.375 1.375 1.75 3.4 1.59 0.19 0.1 0.21
44 H4 [19] 1.35 1.35 2 0.4 0.2 0.2 0.1 0.22
45 H4 [19] 1.35 1.35 1.8 0.5 0.2 0.19 0.11 0.22
46 H4 [19] 1.35 1.35 1.6 0.7 0.4 0.21 0.11 0.24
47 H4 [19] 1.3 1.3 1.8 0.3 0.1 0.16 0.1 0.19
48 MS1 [19] 1.2 1.5 1.8 3.5 1.5 0.19 0.1 0.21
49 MS1 [19] 1.25 1.45 1.8 1.5 0.8 0.19 0.11 0.22
50 MS1 [19] 1.3 1.4 1.8 0.6 0.2 0.17 0.09 0.19
51 MS1 [19] 1.4 1.4 1.8 0.6 0.2 0.13 0.09 0.16
52 MS1 [19] 1.35 1.35 1.8 1.5 0.6 0.14 0.08 0.16
53 MS1 [19] 1.3 1.3 1.8 1.5 0.5 0.15 0.08 0.17
54 MS1b [24] 0.944 1.944 1.75 65 21.45 0.18 0.02 0.18
55 MS1b [24] 1 1.75 1.75 49 15.19 0.17 0.03 0.17
56 MS1b [24] 1.167 1.75 1.75 24 7.69 0.18 0.05 0.19
57 MS1b [24] 1.1 1.65 1.75 26 7.33 0.17 0.04 0.17
58 MS1b [24] 1 1.5 1.75 32 7.87 0.16 0.03 0.16
59 MS1b [24] 1.222 1.527 1.75 4.8 1.64 0.15 0.11 0.19
60 MS1b [24] 1.375 1.375 1.75 2.3 0.39 0.13 0.06 0.14
61 SLy [24] 1 1.75 1.75 24 8.94 0.19 0.03 0.19
62 SLy [24] 1.167 1.75 1.75 6.5 5.54 0.25 0.11 0.27
63 SLy [24] 1.1 1.65 1.75 16 7.69 0.19 0.11 0.22
64 SLy [24] 1 1.5 1.75 18 9.12 0.19 0.12 0.22
65 SLy [24] 1.222 1.527 1.75 18 8.4 0.16 0.11 0.19
66 SLy [24] 1.375 1.375 1.75 16 4.83 0.17 0.1 0.2
67 ALF2 [21] 1.25 1.45 1.75 3.9 0.8 nan nan 0.15
68 ALF2 [20] 1.35 1.35 2 3.8 3.36 nan nan 0.28
69 ALF2 [21] 1.35 1.35 1.75 3.5 0.7 nan nan 0.15
70 ALF2 [20] 1.35 1.35 1.5 4.49 3.8 nan nan 0.27
71 ALF4 [20] 1.35 1.35 2 5.7 6.07 nan nan 0.3
72 ALF4 [20] 1.35 1.35 1.5 7.4 7.65 nan nan 0.29
73 APR [20] 1.35 1.35 2 5.96 6.37 nan nan 0.31
74 APR [20] 1.35 1.35 1.5 7.38 7.9 nan nan 0.3
75 APR3 [20] 1.35 1.35 2 4.65 4.69 nan nan 0.3
76 APR3 [20] 1.35 1.35 1.5 6.15 5.5 nan nan 0.27
77 DD2 [20] 1.2 1.8 full 17.08 6.72 nan nan 0.17
78 DD2 [20] 1.35 2 full 6.41 9.64 nan nan 0.31
79 DD2 [20] 1.35 1.8 full 14.85 9.48 nan nan 0.21
80 DD2 [20] 1.2 1.6 full 10.9 6.39 nan nan 0.2
81 DD2 [22] 1.18 1.54 fullN 1.3 0.76 nan nan 0.3
82 DD2 [20] 1.2 1.5 full 8.79 4.97 nan nan 0.2
83 DD2 [20] 1.5 1.8 full 18.84 15.52 nan nan 0.25
84 DD2 [22] 1.25 1.47 fullN 0.42 0.29 nan nan 0.3
85 DD2 [23] 1.25 1.45 fullN 5 1.61 nan nan 0.19
86 DD2 [20] 1.2 1.35 full 3.17 2.06 nan nan 0.2
87 DD2 [20] 1.35 1.5 full 3.57 3.13 nan nan 0.25
88 DD2 [23] 1.3 1.4 fullN 3 0.87 nan nan 0.18
89 DD2 [20] 2 2 full 0.25 0.25 nan nan 0.25
90 DD2 [20] 1.8 1.8 full 1.37 1.63 nan nan 0.26
91 DD2 [20] 1.6 1.6 full 7.8 7.4 nan nan 0.27
92 DD2 [20] 1.5 1.5 full 5.38 4.66 nan nan 0.26
93 DD2 [22] 1.36 1.36 fullN 0.43 0.31 nan nan 0.3
94 DD2 [20] 1.35 1.35 2 2.57 3.31 nan nan 0.34
95 DD2 [20] 1.35 1.35 1.8 2.26 2.61 nan nan 0.32
96 DD2 [20] 1.35 1.35 1.5 2.72 2.9 nan nan 0.3
97 DD2 [20] 1.35 1.35 full 3.07 2.18 nan nan 0.22
98 DD2 [23] 1.35 1.35 fullN 2 0.46 nan nan 0.16
99 DD2 [20] 1.2 1.2 full 3.09 1.37 nan nan 0.17
100 ENG [20] 1.35 1.35 2 5.29 5.01 nan nan 0.29
101 ENG [20] 1.35 1.35 1.5 6.32 5.3 nan nan 0.26
102 Glenh3 [20] 1.35 1.35 2 1.08 0.62 nan nan 0.23
103 Glenh3 [20] 1.35 1.35 1.5 1.69 0.9 nan nan 0.22
104 GS2 [20] 1.2 1.5 full 10.69 6.14 nan nan 0.18
105 GS2 [20] 1.35 1.35 full 2.74 2.16 nan nan 0.19
106 H3 [20] 1.35 1.35 2 1.43 1.15 nan nan 0.27
107 H4 [21] 1.25 1.45 1.75 6 2.8 nan nan 0.23
108 H4 [20] 1.35 1.35 2 1.28 1.09 nan nan 0.27
109 H4 [21] 1.35 1.35 1.75 0.6 0.5 nan nan 0.3
110 H4 [20] 1.35 1.35 1.5 1.93 1.64 nan nan 0.27
111 MPA1 [20] 1.35 1.35 2 3.64 3.6 nan nan 0.3
112 MPA1 [20] 1.35 1.35 1.5 4.48 4.35 nan nan 0.29
113 MS1 [21] 1.25 1.45 1.75 5.8 1.2 nan nan 0.15
114 MS1 [20] 1.35 1.35 2 1.17 0.98 nan nan 0.27
115 MS1 [21] 1.35 1.35 1.75 0.7 0.2 nan nan 0.18
116 MS1 [20] 1.35 1.35 1.5 2.38 1.19 nan nan 0.21
117 MS1b [20] 1.35 1.35 2 1.67 1.26 nan nan 0.25
118 MS1b [20] 1.35 1.35 1.5 3.64 1.85 nan nan 0.21
119 MS2 [20] 1.35 1.35 2 0.81 0.65 nan nan 0.26
120 NL3 [20] 1.2 1.8 full 15.68 5.75 nan nan 0.15
121 NL3 [20] 1.35 2 full 12.85 7.62 nan nan 0.2
122 NL3 [20] 1.35 1.8 full 18.81 11.31 nan nan 0.21
123 NL3 [20] 1.2 1.6 full 9.96 5.57 nan nan 0.19
124 NL3 [20] 1.2 1.5 full 7.95 4.5 nan nan 0.19
125 NL3 [20] 1.5 1.8 full 8.1 4.94 nan nan 0.21
126 NL3 [22] 1.25 1.47 fullN 2.3 1.22 nan nan 0.25
127 NL3 [20] 1.35 1.5 full 2.72 2.25 nan nan 0.24
128 NL3 [20] 1.2 1.35 full 4.25 2.74 nan nan 0.21
129 NL3 [20] 2 2 full 1.91 2.18 nan nan 0.29
130 NL3 [20] 1.8 1.8 full 9.08 7.25 nan nan 0.24
131 NL3 [20] 1.6 1.6 full 3.74 2.59 nan nan 0.22
132 NL3 [20] 1.5 1.5 full 1.7 1.04 nan nan 0.2
133 NL3 [22] 1.36 1.36 fullN 0.015 0.01 nan nan 0.45
134 NL3 [20] 1.35 1.35 2 1.57 2.03 nan nan 0.34
135 NL3 [20] 1.35 1.35 1.8 1.6 2.99 nan nan 0.32
136 NL3 [20] 1.35 1.35 1.5 1.86 1.98 nan nan 0.3
137 NL3 [20] 1.35 1.35 full 2.09 0.98 nan nan 0.18
138 NL3 [20] 1.2 1.2 full 2.15 0.91 nan nan 0.17
139 SFHo [20] 1.2 1.8 full 5.78 10.08 nan nan 0.34
140 SFHo [20] 1.35 1.8 full 11.76 16.22 nan nan 0.31
141 SFHo [20] 1.2 1.6 full 16.91 11.1 nan nan 0.21
142 SFHo [20] 1.2 1.5 full 13.39 8.94 nan nan 0.22
143 SFHo [20] 1.5 1.8 full 6.34 14.4 nan nan 0.42
144 SFHo [22] 1.25 1.47 fullN 2.2 1.8 nan nan 0.25
145 SFHo [23] 1.25 1.45 fullN 11 5.66 nan nan 0.24
146 SFHo [20] 1.2 1.35 full 5.44 3.86 nan nan 0.22
147 SFHo [20] 1.35 1.5 full 18.73 13.34 nan nan 0.23
148 SFHo [23] 1.3 1.4 fullN 6 2.15 nan nan 0.2
149 SFHo [23] 1.33 1.37 fullN 9 3.55 nan nan 0.21
150 SFHo [20] 1.8 1.8 full 0.17 0.24 nan nan 0.29
151 SFHo [20] 1.6 1.6 full 1.13 1 nan nan 0.21
152 SFHo [20] 1.5 1.5 full 4.1 4.13 nan nan 0.27
153 SFHo [22] 1.36 1.36 fullN 3.4 1.8 nan nan 0.25
154 SFHo [20] 1.35 1.35 2 2.96 3.37 nan nan 0.32
155 SFHo [20] 1.35 1.35 1.8 3.26 4.18 nan nan 0.34
156 SFHo [20] 1.35 1.35 1.5 3.82 4.14 nan nan 0.3
157 SFHo [20] 1.35 1.35 full 4.83 3.61 nan nan 0.23
158 SFHo [23] 1.35 1.35 fullN 11 4.76 nan nan 0.22
159 SFHo [20] 1.2 1.2 full 1.88 1.26 nan nan 0.21
160 SFHx [20] 1.2 1.5 full 14.67 7.91 nan nan 0.19
161 SFHx [20] 1.35 1.35 full 6.16 4.36 nan nan 0.22
162 SLy [21] 1.25 1.45 1.75 6.5 5.1 nan nan 0.3
163 SLy [21] 1.35 1.35 1.75 12.2 7.1 nan nan 0.26
164 SLy4 [20] 1.35 1.35 2 3.99 3.75 nan nan 0.29
165 SLy4 [20] 1.35 1.35 1.5 6.4 5.53 nan nan 0.27
166 TM1 [20] 1.2 1.5 full 8.66 3.94 nan nan 0.17
167 TM1 [20] 1.35 1.35 2 1.37 2.02 nan nan 0.36
168 TM1 [20] 1.35 1.35 1.8 1.33 1.77 nan nan 0.34
169 TM1 [20] 1.35 1.35 1.5 1.53 1.86 nan nan 0.32
170 TM1 [20] 1.35 1.35 full 1.67 0.74 nan nan 0.16
171 TMA [20] 1.2 1.5 full 10.21 6.4 nan nan 0.2
172 TMA [20] 1.35 1.35 full 2.05 1.19 nan nan 0.18
