EOS M1 M2 Gth R1.35 Mej v Ekin
BurgioNN 1.35 1.35 2 11.99 2.47 0.39 4.73
BurgioNN 1.35 1.35 1.5 11.99 2.44 0.37 4.67
SLy4 1.35 1.35 2 11.79 3.99 0.29 3.75
SLy4 1.35 1.35 1.5 11.79 6.40 0.27 5.53
BSk20 1.35 1.35 2 11.74 4.68 0.31 4.90
BSk20 1.35 1.35 1.5 11.74 7.83 0.26 6.80
ALF4 1.35 1.35 x 2 11.60 5.70 0.30 6.07
ALF4 1.35 1.35 x 1.5 11.60 7.40 0.29 7.65
Heb2 1.35 1.35 2 11.42 4.95 0.34 7.90
Heb2 1.35 1.35 1.5 11.42 5.01 0.37 9.07
APR 1.35 1.35 2 11.33 5.96 0.31 6.37
APR 1.35 1.35 1.5 11.33 7.38 0.30 7.90
BB2 1.35 1.35 x 2 11.30 4.95 0.28 4.17
eosUU 1.35 1.35 2 11.18 7.02 0.32 7.80
eosUU 1.35 1.35 1.5 11.18 9.42 0.31 10.0
Heb1 1.35 1.35 2 10.81 6.85 0.31 8.54
Heb1 1.35 1.35 1.5 10.81 10.88 0.32 12.54
eosAU 1.35 1.35 2 10.44 4.05 0.36 5.64
eosAU 1.35 1.35 1.5 10.44 1.51 0.29 1.69
NL3 1.2 1.5 full 14.75 7.95 0.19 4.50
GS1 1.2 1.5 full 14.72 6.43 0.22 6.55
Shen 1.2 1.5 full 14.56 5.66 0.30 8.33
TM1 1.2 1.5 full 14.49 8.66 0.17 3.94
TMA 1.2 1.5 full 13.86 10.21 0.20 6.40
LS375 1.2 1.5 full 13.56 6.66 0.27 7.60
GS2 1.2 1.5 full 13.38 10.69 0.18 6.14
DD2 1.2 1.5 full 13.21 8.79 0.20 4.97
LS220 1.2 1.5 full 12.64 13.22 0.18 7.34
LS180 1.2 1.5 x full 12.14 18.58 0.20 12.13
SFHX 1.2 1.5 full 11.98 14.67 0.19 7.91
SFHO 1.2 1.5 full 11.92 13.39 0.22 8.94
NL3 1.2 1.2 full 14.75 2.15 0.17 0.91
NL3 1.2 1.35 full 14.75 4.25 0.21 2.74
NL3 1.2 1.6 full 14.75 9.96 0.19 5.57
NL3 1.2 1.8 full 14.75 15.68 0.15 5.75
NL3 1.35 1.5 full 14.75 2.72 0.24 2.25
NL3 1.35 1.8 full 14.75 18.81 0.21 11.31
NL3 1.5 1.5 full 14.75 1.70 0.20 1.04
NL3 1.5 1.8 full 14.75 8.10 0.21 4.94
NL3 1.6 1.6 full 14.75 3.74 0.22 2.59
NL3 1.8 1.8 full 14.75 9.08 0.24 7.25
NL3 1.35 2.0 full 14.75 12.85 0.20 7.62
NL3 2.0 2.0 full 14.75 1.91 0.29 2.18
DD2 1.2 1.2 full 13.21 3.09 0.17 1.37
DD2 1.2 1.35 full 13.21 3.17 0.20 2.06
DD2 1.2 1.6 full 13.21 10.90 0.20 6.39
DD2 1.2 1.8 full 13.21 17.08 0.17 6.72
DD2 1.35 1.5 full 13.21 3.57 0.25 3.13
DD2 1.35 1.8 full 13.21 14.85 0.21 9.48
DD2 1.5 1.5 full 13.21 5.38 0.26 4.66
DD2 1.5 1.8 full 13.21 18.84 0.25 15.52
DD2 1.6 1.6 full 13.21 7.80 0.27 7.40
DD2 1.8 1.8 full 13.21 1.37 0.26 1.63
DD2 1.35 2.0 full 13.21 6.41 0.31 9.64
DD2 2.0 2.0 full 13.21 0.25 0.25 0.25
SFHO 1.2 1.2 full 11.92 1.88 0.21 1.26
SFHO 1.2 1.35 full 11.92 5.44 0.22 3.86
SFHO 1.2 1.6 full 11.92 16.91 0.21 11.10
SFHO 1.2 1.8 full 11.92 5.78 0.34 10.08
SFHO 1.35 1.5 full 11.92 18.73 0.23 13.34
SFHO 1.35 1.8 full 11.92 11.76 0.31 16.22
SFHO 1.5 1.5 full 11.92 4.10 0.27 4.13
SFHO 1.5 1.8 full 11.92 6.34 0.42 14.40
SFHO 1.6 1.6 full 11.92 1.13 0.21 1.00
SFHO 1.8 1.8 full 11.92 0.17 0.29 0.24
